Binding Energy (eV),0min_Intensity (cps),1min_Intensity (cps),2min_Intensity (cps),3min_Intensity (cps),4min_Intensity (cps),5min_Intensity (cps),6min_Intensity (cps),6.5min_Intensity (cps),7min_Intensity (cps),7.5min_Intensity (cps),8min_Intensity (cps),8.5min_Intensity (cps),9min_Intensity (cps),9.5min_Intensity (cps),10min_Intensity (cps),10.5min_Intensity (cps),11min_Intensity (cps),11.5min_Intensity (cps),12min_Intensity (cps),13min_Intensity (cps),14min_Intensity (cps),15min_Intensity (cps),16min_Intensity (cps),17min_Intensity (cps),18min_Intensity (cps)
543.0000,3412.5000,4162.5000,4462.5000,4387.5000,4558.3335,5029.1665,5037.5000,4937.5000,5200.0000,5070.8335,5175.0000,5020.8335,5033.3335,4420.8335,3800.0000,3629.1667,3362.5000,3179.1667,3304.1667,3395.8333,3354.1667,3454.1667,3312.5000,3408.3333,3362.5000
542.9000,3658.3333,4195.8335,4420.8335,4179.1665,4337.5000,4979.1665,4879.1665,4879.1665,5016.6665,5187.5000,5150.0000,5433.3335,4795.8335,4587.5000,3616.6667,3745.8333,3362.5000,3400.0000,3108.3333,3104.1667,3420.8333,3550.0000,3100.0000,3325.0000,3320.8333
542.8000,3475.0000,4125.0000,3970.8333,4250.0000,4020.8333,4754.1665,4929.1665,4995.8335,5166.6665,4979.1665,5208.3335,5283.3335,4983.3335,4437.5000,3987.5000,3666.6667,3300.0000,3262.5000,3270.8333,3295.8333,3262.5000,3300.0000,3329.1667,3270.8333,3341.6667
542.7000,3454.1667,4054.1667,4166.6665,4095.8333,4316.6665,4420.8335,4658.3335,4920.8335,5362.5000,5000.0000,4875.0000,4991.6665,5016.6665,4379.1665,3704.1667,3720.8333,3258.3333,3579.1667,3154.1667,3504.1667,3170.8333,3404.1667,3533.3333,3366.6667,3220.8333
542.6000,3366.6667,3887.5000,4008.3333,4204.1665,4479.1665,4512.5000,4791.6665,4870.8335,4779.1665,5079.1665,5220.8335,4800.0000,4870.8335,4725.0000,3762.5000,3679.1667,3716.6667,3487.5000,3333.3333,3241.6667,3308.3333,3379.1667,3166.6667,3291.6667,3137.5000
542.5000,3300.0000,4112.5000,4016.6667,4029.1667,4091.6667,4483.3335,4570.8335,4837.5000,4920.8335,5020.8335,4937.5000,4858.3335,4979.1665,4541.6665,3612.5000,3600.0000,3583.3333,3250.0000,3241.6667,3445.8333,3391.6667,3333.3333,3483.3333,3245.8333,3475.0000
542.4000,3145.8333,3850.0000,4091.6667,3950.0000,4320.8335,4300.0000,4425.0000,4770.8335,4766.6665,4741.6665,4900.0000,4887.5000,4937.5000,4604.1665,3975.0000,3737.5000,3591.6667,3241.6667,3320.8333,3362.5000,3237.5000,3400.0000,3283.3333,3266.6667,3270.8333
542.3000,3308.3333,3804.1667,3816.6667,3995.8333,4333.3335,4341.6665,4666.6665,4333.3335,4712.5000,4562.5000,4775.0000,4841.6665,4870.8335,4445.8335,3912.5000,3558.3333,3416.6667,3345.8333,3391.6667,3583.3333,3404.1667,3550.0000,3191.6667,3175.0000,3416.6667
542.2000,3070.8333,3625.0000,3820.8333,4075.0000,3966.6667,4275.0000,4279.1665,4795.8335,4654.1665,4341.6665,4662.5000,4820.8335,5029.1665,4729.1665,3816.6667,3837.5000,3595.8333,3558.3333,3408.3333,3458.3333,3445.8333,3350.0000,3491.6667,3095.8333,3225.0000
542.1000,3129.1667,3691.6667,3637.5000,4045.8333,3808.3333,4358.3335,4641.6665,4375.0000,4583.3335,4450.0000,4437.5000,4820.8335,4879.1665,4370.8335,3600.0000,3708.3333,3591.6667,3345.8333,3204.1667,3329.1667,3366.6667,3612.5000,3312.5000,3404.1667,3220.8333
542.0000,3095.8333,3754.1667,3683.3333,3933.3333,3854.1667,4200.0000,4291.6665,4554.1665,4520.8335,4650.0000,4741.6665,4695.8335,4791.6665,4379.1665,4033.3333,3608.3333,3500.0000,3325.0000,3345.8333,3266.6667,3320.8333,3354.1667,3441.6667,3433.3333,3283.3333
541.9000,3129.1667,3837.5000,3433.3333,3775.0000,4020.8333,4125.0000,4366.6665,4237.5000,4404.1665,4504.1665,4825.0000,4870.8335,4879.1665,4637.5000,3679.1667,3445.8333,3483.3333,3304.1667,3454.1667,3520.8333,3241.6667,3570.8333,3283.3333,3116.6667,3295.8333
541.8000,3012.5000,3533.3333,3662.5000,3995.8333,4033.3333,4275.0000,3987.5000,4350.0000,4587.5000,4554.1665,4604.1665,4737.5000,4679.1665,4529.1665,3800.0000,3650.0000,3545.8333,3483.3333,3354.1667,3400.0000,3300.0000,3366.6667,3400.0000,3412.5000,3400.0000
541.7000,3070.8333,3716.6667,3554.1667,3862.5000,3862.5000,4025.0000,4229.1665,4166.6665,4537.5000,4362.5000,4645.8335,4537.5000,4950.0000,4358.3335,3850.0000,3462.5000,3541.6667,3195.8333,3550.0000,3304.1667,3370.8333,3395.8333,3450.0000,3241.6667,3250.0000
541.6000,2708.3333,3533.3333,3712.5000,3620.8333,3804.1667,4254.1665,3991.6667,4350.0000,4383.3335,4345.8335,4425.0000,4570.8335,4783.3335,4337.5000,3837.5000,3662.5000,3441.6667,3391.6667,3300.0000,3316.6667,3370.8333,3487.5000,3304.1667,3395.8333,3387.5000
541.5000,2812.5000,3554.1667,3529.1667,3745.8333,3595.8333,4087.5000,4241.6665,4270.8335,4283.3335,4583.3335,4325.0000,4508.3335,4808.3335,4316.6665,3770.8333,3591.6667,3620.8333,3325.0000,3354.1667,3566.6667,3258.3333,3358.3333,3570.8333,3483.3333,3179.1667
541.4000,2733.3333,3375.0000,3629.1667,3637.5000,3804.1667,3875.0000,4000.0000,4141.6665,4445.8335,4395.8335,4620.8335,4916.6665,4700.0000,4433.3335,3912.5000,3550.0000,3387.5000,3454.1667,3266.6667,3270.8333,3125.0000,3325.0000,3604.1667,3612.5000,3187.5000
541.3000,2770.8333,3341.6667,3454.1667,3537.5000,3633.3333,4033.3333,4033.3333,4420.8335,4250.0000,4154.1665,4725.0000,4595.8335,4520.8335,4304.1665,3983.3333,3304.1667,3591.6667,2962.5000,3500.0000,3220.8333,3304.1667,3400.0000,3275.0000,3283.3333,3350.0000
541.2000,2720.8333,3333.3333,3479.1667,3512.5000,3437.5000,4066.6667,3975.0000,4275.0000,4204.1665,4391.6665,4395.8335,4937.5000,4887.5000,4429.1665,4145.8335,3354.1667,3495.8333,3400.0000,3270.8333,3329.1667,3550.0000,3108.3333,3258.3333,3420.8333,3304.1667
541.1000,2758.3333,3470.8333,3395.8333,3645.8333,3520.8333,3945.8333,4137.5000,4295.8335,4191.6665,4166.6665,4554.1665,4550.0000,4575.0000,4450.0000,3650.0000,3512.5000,3354.1667,3200.0000,3270.8333,3583.3333,3354.1667,3383.3333,3304.1667,3395.8333,3200.0000
541.0000,2637.5000,3266.6667,3666.6667,3475.0000,3670.8333,3875.0000,3950.0000,4037.5000,4241.6665,4483.3335,4491.6665,4762.5000,4575.0000,4437.5000,3854.1667,3587.5000,3237.5000,3200.0000,3508.3333,3358.3333,3391.6667,3412.5000,3495.8333,3550.0000,3466.6667
540.9000,2554.1667,3145.8333,3333.3333,3475.0000,3687.5000,4079.1667,4041.6667,4170.8335,4208.3335,4262.5000,4541.6665,4883.3335,4529.1665,4308.3335,3787.5000,3466.6667,3470.8333,3358.3333,3304.1667,3508.3333,3333.3333,3583.3333,3475.0000,3316.6667,3420.8333
540.8000,2625.0000,3404.1667,3333.3333,3354.1667,3633.3333,3720.8333,4000.0000,3983.3333,4254.1665,4620.8335,4475.0000,4654.1665,4804.1665,4329.1665,3883.3333,3650.0000,3629.1667,3300.0000,3308.3333,3500.0000,3304.1667,3312.5000,3312.5000,3304.1667,3262.5000
540.7000,2554.1667,3208.3333,3600.0000,3550.0000,3541.6667,4008.3333,3791.6667,4175.0000,4241.6665,4316.6665,4337.5000,4716.6665,4616.6665,4495.8335,3716.6667,3712.5000,3437.5000,3404.1667,3512.5000,3508.3333,3379.1667,3008.3333,3441.6667,3304.1667,3325.0000
540.6000,2558.3333,3229.1667,3487.5000,3475.0000,3745.8333,4008.3333,3970.8333,4183.3335,4200.0000,4433.3335,4308.3335,4700.0000,4679.1665,4425.0000,3750.0000,3541.6667,3275.0000,3262.5000,3475.0000,3137.5000,3537.5000,3500.0000,3229.1667,3225.0000,3616.6667
540.5000,2562.5000,3383.3333,3412.5000,3404.1667,3400.0000,3912.5000,4012.5000,3937.5000,4320.8335,4120.8335,4533.3335,4670.8335,4758.3335,4529.1665,3858.3333,3479.1667,3333.3333,3287.5000,3379.1667,3575.0000,3416.6667,3333.3333,3508.3333,3300.0000,3191.6667
540.4000,2545.8333,3225.0000,3175.0000,3558.3333,3616.6667,3675.0000,4045.8333,4070.8333,3970.8333,4308.3335,4475.0000,4695.8335,4695.8335,4437.5000,3837.5000,3445.8333,3620.8333,3245.8333,3437.5000,3666.6667,3179.1667,3495.8333,3125.0000,3362.5000,3391.6667
540.3000,2262.5000,3266.6667,3479.1667,3583.3333,3604.1667,3741.6667,3941.6667,4175.0000,4162.5000,4187.5000,4516.6665,4554.1665,4662.5000,4545.8335,3879.1667,3570.8333,3525.0000,3362.5000,3412.5000,3508.3333,3358.3333,3258.3333,3437.5000,3366.6667,3216.6667
